id	label	lay annotated to disease	lay not annotated to disease	clinical annotated to disease	clinical not annotated to disease	p-value	p-value-correct
MONDO:0000359	spondylocostal dysostosis	130	4627	83	8719	7.041638635899175e-15	7.825373016074753e-11
MONDO:0000167	Huntington disease and related disorders	264	4493	249	8553	7.063347025403945e-15	7.849497549331404e-11
MONDO:0009861	phenylketonuria	117	4640	69	8733	7.158629289904472e-15	7.95538472987084e-11
MONDO:0017290	familial intrahepatic cholestasis	179	4578	140	8662	7.179506706748272e-15	7.978585803209355e-11
MONDO:0019284	inherited isolated nail anomaly	54	4703	12	8790	7.307186124960085e-15	8.120475940668142e-11
MONDO:0009357	humeroradial synostosis with craniofacial anomalies	51	4706	10	8792	7.331623167514272e-15	8.147632826058611e-11
MONDO:0005206	renal carcinoma	114	4643	66	8736	7.843872055048968e-15	8.716895014775919e-11
MONDO:0010027	free sialic acid storage disease, infantile form	90	4667	42	8760	7.863305313232847e-15	8.738491194595662e-11
MONDO:0016185	qualitative or quantitative defects of protein O-mannosyltransferase 2	214	4543	184	8618	8.148784684859266e-15	9.055744420284103e-11
MONDO:0019071	pure hair and nail ectodermal dysplasia	46	4711	7	8795	8.574538288721127e-15	9.52888440025579e-11
MONDO:0020097	autosomal recessive disease with focal palmoplantar keratoderma as a major feature	110	4647	62	8740	8.651670520115242e-15	9.614601449004069e-11
MONDO:0011939	Spondyloenchondrodysplasia with immune dysregulation	93	4664	45	8757	8.661507895953593e-15	9.625533724773227e-11
MONDO:0019298	rare urticaria	72	4685	26	8776	8.7689858221909e-15	9.744973944200747e-11
MONDO:0014205	severe feeding difficulties-failure to thrive-microcephaly due to ASXL3 deficiency syndrome	72	4685	26	8776	8.7689858221909e-15	9.744973944200747e-11
MONDO:0007670	hypotrichosis-lymphedema-telangiectasia syndrome (grouping)	94	4663	46	8756	8.873577515015226e-15	9.861206692436421e-11
MONDO:0015765	congenital myopathy with cores	135	4622	89	8713	8.891742548385338e-15	9.881393494020626e-11
MONDO:0015757	lymphoid hemopathy	227	4530	201	8601	8.98057481060159e-15	9.980112787021548e-11
MONDO:0009659	mucopolysaccharidosis type 4A	108	4649	60	8742	8.983599340293124e-15	9.983473946867748e-11
MONDO:0009900	polysyndactyly-cardiac malformation syndrome	58	4699	15	8787	9.000974165584562e-15	1.0002782590214124e-10
MONDO:0014289	macrocephaly-developmental delay syndrome	58	4699	15	8787	9.000974165584562e-15	1.0002782590214124e-10
MONDO:0009041	craniosynostosis-mental retardation-clefting syndrome	62	4695	18	8784	9.138305895522394e-15	1.0155399341694036e-10
MONDO:0012114	Ehlers-Danlos syndrome, Beasley-Cohen type	62	4695	18	8784	9.138305895522394e-15	1.0155399341694036e-10
MONDO:0009112	rhizomelic chondrodysplasia punctata type 2	80	4677	33	8769	9.189717424436754e-15	1.0212532973776566e-10
MONDO:0007524	autosomal dominant Ehlers-Danlos syndrome, vascular type	96	4661	48	8754	9.211726711763537e-15	1.023699189478282e-10
MONDO:0017314	Ehlers-Danlos syndrome, vascular type	96	4661	48	8754	9.211726711763537e-15	1.023699189478282e-10
MONDO:0020112	vitamin B12- and folate-independent constitutional megaloblastic anemia	149	4608	105	8697	9.298963458739515e-15	1.0333938091697222e-10
MONDO:0010020	congenital generalized lipodystrophy type 2	97	4660	49	8753	9.337222147312945e-15	1.0376454972308875e-10
MONDO:0010383	fragile X syndrome	98	4659	50	8752	9.433745922782588e-15	1.0483721843988291e-10
MONDO:0010006	Sandhoff disease	99	4658	51	8751	9.501680438128596e-15	1.0559217470892308e-10
MONDO:0009924	vitamin D-dependent rickets, type 1	102	4655	54	8748	9.541065872120883e-15	1.0602986503687937e-10
MONDO:0013582	mosaic variegated aneuploidy syndrome 2	100	4657	52	8750	9.541637535072243e-15	1.0603621792725783e-10
MONDO:0012081	15q11q13 microduplication syndrome	67	4690	22	8780	9.808895338738865e-15	1.09006253899405e-10
MONDO:0016965	partial duplication of the long arm of chromosome 15	67	4690	22	8780	9.808895338738865e-15	1.09006253899405e-10
MONDO:0008825	arthrogryposis multiplex congenita-whistling face syndrome	81	4676	34	8768	9.972586722577097e-15	1.1082535624799928e-10
MONDO:0009804	osteogenesis imperfecta type 3	81	4676	34	8768	9.972586722577097e-15	1.1082535624799928e-10
MONDO:0016177	systemic inflammatory disease associated with an acquired peripheral neuropathy	148	4609	104	8698	9.982733860012706e-15	1.109381213863212e-10
MONDO:0017038	secondary interstitial lung disease in childhood and adulthood associated with a systemic vasculitis	148	4609	104	8698	9.982733860012706e-15	1.109381213863212e-10
MONDO:0013755	PYCR1-related de Barsy syndrome	73	4684	27	8775	1.0051585213907678e-14	1.1170326648215603e-10
MONDO:0020248	vitreoretinal degeneration	208	4549	177	8625	1.0206910030851636e-14	1.1342939117285423e-10
MONDO:0001377	vitreous syneresis	208	4549	177	8625	1.0206910030851636e-14	1.1342939117285423e-10
MONDO:0015194	sideroblastic anemia	196	4561	162	8640	1.066812105044551e-14	1.1855482923360096e-10
MONDO:0007198	Ascher syndrome	49	4708	9	8793	1.0853280837877529e-14	1.2061250995133298e-10
MONDO:0007217	brachydactyly type A3	44	4713	6	8796	1.1054711823012191e-14	1.2285101248913447e-10
MONDO:0009965	Perlman syndrome	131	4626	85	8717	1.1163012648207691e-14	1.2405455955953206e-10
MONDO:0009105	tricho-hepato-enteric syndrome	120	4637	73	8729	1.1198214498107045e-14	1.2444575771746358e-10
MONDO:0015572	cerebral malformation due to abnormal neuronal migration	169	4588	129	8673	1.120877089561363e-14	1.2456307096295425e-10
MONDO:0019096	rare pulmonary hypertension	146	4611	102	8700	1.1486969111116267e-14	1.2765468773183506e-10
MONDO:0005149	pulmonary hypertension	146	4611	102	8700	1.1486969111116267e-14	1.2765468773183506e-10
MONDO:0018869	cobblestone lissencephaly	214	4543	185	8617	1.1559726426207837e-14	1.284632397744477e-10
MONDO:0013922	Seckel syndrome 7	68	4689	23	8779	1.1731166476473553e-14	1.303684530530506e-10
MONDO:0014254	otofaciocervical syndrome 2	68	4689	23	8779	1.1731166476473553e-14	1.303684530530506e-10
MONDO:0040501	ehlers-danlos syndrome, arthrochalasia type, 2	59	4698	16	8786	1.210651994155884e-14	1.3453975611054338e-10
MONDO:0015937	rare inflammatory eye disease	117	4640	70	8732	1.2569319308185495e-14	1.396828454718654e-10
MONDO:0020283	uveitis (disease)	117	4640	70	8732	1.2569319308185495e-14	1.396828454718654e-10
MONDO:0020037	rare gynecological tumor	162	4595	121	8681	1.3071435562709666e-14	1.452628634083925e-10
MONDO:0015736	intermediate nemaline myopathy	115	4642	68	8734	1.3479647649583163e-14	1.4979932432981768e-10
MONDO:0005578	arthritis	127	4630	81	8721	1.381733342995584e-14	1.5355202640709923e-10
MONDO:0007587	external auditory canal atresia-vertical talus-hypertelorism syndrome	69	4688	24	8778	1.3840470910604887e-14	1.538091532295521e-10
MONDO:0054813	ehlers-danlos syndrome, classic-like, 2	76	4681	30	8772	1.42679248358537e-14	1.5855944870084217e-10
MONDO:0008607	triphalangeal thumbs-brachyectrodactyly syndrome	38	4719	3	8799	1.4409248423584226e-14	1.601299777312915e-10
MONDO:0012108	spondyloepimetaphyseal dysplasia, matrilin-3 type	64	4693	20	8782	1.442952870471542e-14	1.6035535249550247e-10
MONDO:0017260	systemic diseases with posterior uveitis	180	4577	143	8659	1.4570093545705102e-14	1.619174495734208e-10
MONDO:0020109	constitutional megaloblastic anemia due to vitamin B12 metabolism disorder	180	4577	143	8659	1.4570093545705102e-14	1.619174495734208e-10
MONDO:0000424	inborn vitamin B12 deficiency (disease)	180	4577	143	8659	1.4570093545705102e-14	1.619174495734208e-10
MONDO:0042976	vitamin B deficiency	180	4577	143	8659	1.4570093545705102e-14	1.619174495734208e-10
MONDO:0004860	vitreous disease	215	4542	187	8615	1.4828522430184746e-14	1.647893697666431e-10
MONDO:0016647	autosomal recessive Stickler syndrome	56	4701	14	8788	1.503691912020957e-14	1.6710528218288894e-10
MONDO:0020201	conjunctival telangiectasia (disease)	175	4582	137	8665	1.5198256537134964e-14	1.6889822489718086e-10
MONDO:0000172	muscular dystrophy-dystroglycanopathy, type B	160	4597	119	8683	1.5347163184690423e-14	1.7055302447146468e-10
MONDO:0012019	spondyloepiphyseal dysplasia, Kimberley type	47	4710	8	8794	1.5543140683672894e-14	1.7273092241765687e-10
MONDO:0010568	Aicardi syndrome	165	4592	125	8677	1.563265619094011e-14	1.7372570824991743e-10
MONDO:0016085	Cole-Carpenter syndrome	77	4680	31	8771	1.5754328769570946e-14	1.7507785561624192e-10
MONDO:0014963	Shashi-Pena syndrome; SHAPNS	77	4680	31	8771	1.5754328769570946e-14	1.7507785561624192e-10
MONDO:0012323	lethal acantholytic epidermolysis bullosa	60	4697	17	8785	1.588672943142364e-14	1.7654922417141092e-10
MONDO:0008875	blepharophimosis-ptosis-esotropia-syndactyly-short stature syndrome	70	4687	25	8777	1.6124672182386408e-14	1.7919348196286014e-10
MONDO:0007405	Crouzon syndrome	108	4649	61	8741	1.6359270359840503e-14	1.818005715089075e-10
MONDO:0009055	cutis marmorata telangiectatica congenita (disease)	91	4666	44	8758	1.6449685064312124e-14	1.8280535011970064e-10
MONDO:0007727	autosomal dominant familial periodic fever	107	4650	60	8742	1.669586796333242e-14	1.8554118067651318e-10
MONDO:0009890	Gillessen-Kaesbach-Nishimura syndrome	78	4679	32	8770	1.7258346297536506e-14	1.917920024045232e-10
MONDO:0009155	EEM syndrome	65	4692	21	8781	1.765742151257111e-14	1.9622692526920273e-10
MONDO:0012099	AICA-ribosiduria	65	4692	21	8781	1.765742151257111e-14	1.9622692526920273e-10
MONDO:0009133	dysequilibrium syndrome	95	4662	48	8754	1.7737914413124303e-14	1.9712144287305037e-10
MONDO:0015548	Huntington disease-like syndrome	255	4502	240	8562	1.7777923460634004e-14	1.9756606341802568e-10
MONDO:0002516	digestive system cancer	213	4544	185	8617	1.8028054988324432e-14	2.0034577508524942e-10
MONDO:0004095	B-cell neoplasm	163	4594	123	8679	1.843026760184262e-14	2.0481556385927703e-10
MONDO:0011946	diaphanospondylodysostosis	121	4636	75	8727	1.8458861075894983e-14	2.0513332313642096e-10
MONDO:0016364	Joubert syndrome with ocular defect	121	4636	75	8727	1.8458861075894983e-14	2.0513332313642096e-10
MONDO:0009359	multinucleated neurons-anhydramnios-renal dysplasia-cerebellar hypoplasia-hydranencephaly syndrome	71	4686	26	8776	1.8567703171718226e-14	2.0634288534730464e-10
MONDO:0013812	Baraitser-winter syndrome 2	71	4686	26	8776	1.8567703171718226e-14	2.0634288534730464e-10
MONDO:0014699	intellectual disability, autosomal dominant 40	79	4678	33	8769	1.8765750140224564e-14	2.0854378130831556e-10
MONDO:0009191	Lowry-wood syndrome	80	4677	34	8768	2.026238490934221e-14	2.2517588349752e-10
MONDO:0014044	dysmorphism-conductive hearing loss-heart defect syndrome	80	4677	34	8768	2.026238490934221e-14	2.2517588349752e-10
MONDO:0008137	orofaciodigital syndrome X	57	4700	15	8787	2.0576407186432055e-14	2.2866561306281942e-10
MONDO:0012253	multiple epiphyseal dysplasia, with severe proximal femoral dysplasia	57	4700	15	8787	2.0576407186432055e-14	2.2866561306281942e-10
MONDO:0015737	typical nemaline myopathy	118	4639	72	8730	2.1006067504989405e-14	2.3344042818294726e-10
MONDO:0014941	arthrogryposis, distal, with impaired proprioception and touch; DAIPT	72	4685	27	8775	2.1150008009634887e-14	2.350400390110725e-10
MONDO:0060532	congenital heart defects and skeletal malformations syndrome	72	4685	27	8775	2.1150008009634887e-14	2.350400390110725e-10
MONDO:0013964	Diamond-Blackfan anemia 11	73	4684	28	8774	2.384907356447973e-14	2.6503475452206326e-10
MONDO:0016520	isolated Klippel-Feil syndrome	83	4674	37	8765	2.455259661086812e-14	2.7285300613657743e-10
MONDO:0007341	cleidorhizomelic syndrome	54	4703	13	8789	2.480207877079845e-14	2.756255013798832e-10
MONDO:0013590	Stickler syndrome, type 4	54	4703	13	8789	2.480207877079845e-14	2.756255013798832e-10
MONDO:0024541	trichohepatoenteric syndrome 1	113	4644	67	8735	2.5370665163231092e-14	2.8194420195898714e-10
MONDO:0011110	dyssegmental dysplasia-glaucoma syndrome	62	4695	19	8783	2.5640430478785782e-14	2.849421039107464e-10
MONDO:0018700	pseudohypoparathyroidism without Albright hereditary osteodystrophy	112	4645	66	8736	2.6230898782835606e-14	2.915039781736521e-10
MONDO:0011301	pseudohypoparathyroidism type 1B	112	4645	66	8736	2.6230898782835606e-14	2.915039781736521e-10
MONDO:0008582	tooth and nail syndrome	48	4709	9	8793	2.6346639036381077e-14	2.927901996113029e-10
MONDO:0007191	Behcet disease	147	4610	105	8697	2.6805102724579135e-14	2.9788510657824795e-10
MONDO:0009767	oculocerebral hypopigmentation syndrome, cross type	111	4646	65	8737	2.7077200771588662e-14	3.009089321746648e-10
MONDO:0008127	Ophthalmomandibulomelic dysplasia	85	4672	39	8763	2.7124736447938716e-14	3.0143719614594294e-10
MONDO:0005486	tooth agenesis	51	4706	11	8791	2.7223427479207373e-14	3.025339495764315e-10
MONDO:0010710	Pierre Robin syndrome-faciodigital anomaly syndrome	58	4699	16	8786	2.7406779582684525e-14	3.0457154150237315e-10
MONDO:0008391	Robinow-Sorauf syndrome	43	4714	6	8796	2.792797531091098e-14	3.103635896301537e-10
MONDO:0008054	juvenile dermatomyositis	86	4671	40	8762	2.8293333677262613e-14	3.144238171554194e-10
MONDO:0017021	secondary interstitial lung disease specific to childhood associated with a connective tissue disease	86	4671	40	8762	2.8293333677262613e-14	3.144238171554194e-10
MONDO:0019127	polymyositis	86	4671	40	8762	2.8293333677262613e-14	3.144238171554194e-10
MONDO:0016367	dermatomyositis	86	4671	40	8762	2.8293333677262613e-14	3.144238171554194e-10
MONDO:0018010	juvenile idiopathic inflammatory myopathy	86	4671	40	8762	2.8293333677262613e-14	3.144238171554194e-10
MONDO:0010822	Warburg micro syndrome 1	87	4670	41	8761	2.937262072822735e-14	3.2641793415279055e-10
MONDO:0008460	splenogonadal fusion-limb defects-micrognathia syndrome	75	4682	30	8772	2.9496241359790664e-14	3.2779173023135364e-10
MONDO:0011323	arhinia, choanal atresia, and microphthalmia	75	4682	30	8772	2.9496241359790664e-14	3.2779173023135364e-10
MONDO:0007306	Klippel-Feil syndrome 1, autosomal dominant	68	4689	24	8778	2.9586668337915823e-14	3.2879664523925857e-10
MONDO:0017746	atypical Rett syndrome	106	4651	60	8742	3.0924021911011123e-14	3.436586554970666e-10
MONDO:0020070	neonatal epilepsy syndrome	145	4612	103	8699	3.101417761686305e-14	3.4466055585619906e-10
MONDO:0009180	junctional epidermolysis bullosa, non-Herlitz type	90	4667	44	8758	3.2015072334968077e-14	3.5578349885850023e-10
MONDO:0013617	overgrowth-macrocephaly-facial dysmorphism syndrome	76	4681	31	8771	3.239001695614634e-14	3.5995025843365426e-10
MONDO:0011134	curry-Jones syndrome	91	4666	45	8757	3.268411497960657e-14	3.632185697683678e-10
MONDO:0017350	inborn disorder of tryptophan metabolism	93	4664	47	8755	3.3693696031860536e-14	3.7443804400206613e-10
MONDO:0012783	RFT1-CDG	93	4664	47	8755	3.3693696031860536e-14	3.7443804400206613e-10
MONDO:0015079	multiple polyglandular tumor	217	4540	192	8610	3.381906774260999e-14	3.758312998236248e-10
MONDO:0017138	Opitz G/BBB syndrome	137	4620	94	8708	3.3922693588694553e-14	3.7698289385116255e-10
MONDO:0009526	fibular aplasia, tibial campomelia, and oligosyndactyly syndrome	41	4716	5	8797	3.4188677707543636e-14	3.7993877536393244e-10
MONDO:0013310	congenital adrenal hyperplasia due to cytochrome P450 oxidoreductase deficiency	119	4638	74	8728	3.4533171092309016e-14	3.8376713034883007e-10
MONDO:0011206	ventriculomegaly with defects of the radius and kidney	55	4702	14	8788	3.460425365323367e-14	3.8455707084838574e-10
MONDO:0016046	familial clubfoot with or without associated lower limb anomalies	49	4708	10	8792	4.2195973808771034e-14	4.689238569368725e-10
MONDO:0013627	three M syndrome 3	49	4708	10	8792	4.2195973808771034e-14	4.689238569368725e-10
MONDO:0005294	peripheral vascular disease	125	4632	81	8721	4.3025517477431835e-14	4.781425757266999e-10
MONDO:0009626	pseudo-TORCH syndrome	113	4644	68	8734	4.4386318284968543e-14	4.932651551008555e-10
MONDO:0012690	Noonan syndrome 5	60	4697	18	8784	4.5316817760807946e-14	5.036057957758587e-10
MONDO:0008097	linear nevus sebaceus syndrome	124	4633	80	8722	4.542621644099819e-14	5.048215433088129e-10
MONDO:0020179	palpebral nevus	124	4633	80	8722	4.542621644099819e-14	5.048215433088129e-10
MONDO:0008823	neurogenic arthrogryposis multiplex congenita	124	4633	80	8722	4.542621644099819e-14	5.048215433088129e-10
MONDO:0009291	glycogen storage disease III	65	4692	22	8780	4.5949804172905e-14	5.106401737734933e-10
MONDO:0015735	severe congenital nemaline myopathy	112	4645	67	8735	4.6061860919517874e-14	5.118854603986021e-10
MONDO:0009482	hypogonadotropic hypogonadism 3 with or without anosmia	56	4701	15	8787	4.686726230552035e-14	5.208358860012476e-10
MONDO:0011255	mandibulofacial dysostosis-macroblepharon-macrostomia syndrome	72	4685	28	8774	4.968880948475683e-14	5.521917398041027e-10
MONDO:0013362	THOC6-related developmental delay-microcephaly-facial dysmorphism syndrome	72	4685	28	8774	4.968880948475683e-14	5.521917398041027e-10
MONDO:0015022	intellectual developmental disorder with dysmorphic facies and ptosis; IDDDFP	72	4685	28	8774	4.968880948475683e-14	5.521917398041027e-10
MONDO:0010402	syndromic X-linked intellectual disability 94	44	4713	7	8795	5.311162842019492e-14	5.902295266336262e-10
MONDO:0018222	X-linked intellectual disability due to GRIA3 anomalies	44	4713	7	8795	5.311162842019492e-14	5.902295266336262e-10
MONDO:0019218	inborn disorder of bile acid synthesis	160	4597	122	8680	5.4600170294318794e-14	6.067716924807647e-10
MONDO:0015581	bile acid synthesis defect with cholestasis and malabsorption	160	4597	122	8680	5.4600170294318794e-14	6.067716924807647e-10
MONDO:0009589	mesomelic dwarfism-cleft palate-camptodactyly syndrome	73	4684	29	8773	5.5177639681165224e-14	6.131891097767891e-10
MONDO:0010001	ectodermal dysplasia-blindness syndrome	73	4684	29	8773	5.5177639681165224e-14	6.131891097767891e-10
MONDO:0006054	reproductive system neoplasm	178	4579	144	8658	5.591773694893479e-14	6.214138107135123e-10
MONDO:0008497	Stormorken syndrome	61	4696	19	8783	5.650460429012258e-14	6.279356674761322e-10
MONDO:0014708	ring chromosome 14	61	4696	19	8783	5.650460429012258e-14	6.279356674761322e-10
MONDO:0018186	ring chromosome	61	4696	19	8783	5.650460429012258e-14	6.279356674761322e-10
MONDO:0008633	Muckle-Wells syndrome	105	4652	60	8742	5.708081491531095e-14	6.343390961538507e-10
MONDO:0008514	syndactyly type 3	53	4704	13	8789	5.748970875943569e-14	6.388831334436089e-10
MONDO:0010277	syndromic X-linked intellectual disability Shashi type	53	4704	13	8789	5.748970875943569e-14	6.388831334436089e-10
MONDO:0013358	Seckel syndrome 4	53	4704	13	8789	5.748970875943569e-14	6.388831334436089e-10
MONDO:0012329	short stature and Facioauriculothoracic malformations	57	4700	16	8786	6.181388732416289e-14	6.869377298334222e-10
MONDO:0014238	severe intellectual disability-short stature-behavioral abnormalities-facial dysmorphism syndrome	57	4700	16	8786	6.181388732416289e-14	6.869377298334222e-10
MONDO:0007029	branchio-oto-renal syndrome	101	4656	56	8746	6.19414299290061e-14	6.883551108010447e-10
MONDO:0007395	craniofacial-deafness-hand syndrome	67	4690	24	8778	6.300577182327753e-14	7.001831422720831e-10
MONDO:0012794	ANE syndrome	67	4690	24	8778	6.300577182327753e-14	7.001831422720831e-10
MONDO:0016198	qualitative or quantitative defects of plectin	99	4658	54	8748	6.368482538373404e-14	7.077294644894364e-10
MONDO:0007449	dermo-odonto dysplasia	50	4707	11	8791	6.437423515189732e-14	7.153908752430349e-10
MONDO:0019600	xeroderma pigmentosum	117	4640	73	8729	6.456409879121739e-14	7.175008298667988e-10
MONDO:0024567	hypotonia, infantile, with psychomotor retardation and characteristic facies 1	92	4665	47	8755	6.463675650715676e-14	7.183082750640331e-10
MONDO:0004674	chorioretinitis (disease)	93	4664	48	8754	6.506853891280878e-14	7.23106672938044e-10
MONDO:0000181	microcephaly and chorioretinopathy	93	4664	48	8754	6.506853891280878e-14	7.23106672938044e-10
MONDO:0009658	Sanfilippo syndrome type D	96	4661	51	8751	6.517686967169039e-14	7.243105526614953e-10
MONDO:0011776	CINCA syndrome	95	4662	50	8752	6.533111789881169e-14	7.260247132094943e-10
MONDO:0014743	rhizomelic chondrodysplasia punctata type 5	75	4682	31	8771	6.633894262863036e-14	7.372246694319692e-10
MONDO:0054844	pontocerebellar hypoplasia, type 1d	75	4682	31	8771	6.633894262863036e-14	7.372246694319692e-10
MONDO:0009428	childhood hypophosphatasia	62	4695	20	8782	6.919285286158848e-14	7.689401738508327e-10
MONDO:0013248	Fanconi anemia complementation group O	62	4695	20	8782	6.919285286158848e-14	7.689401738508327e-10
MONDO:0007679	GMS syndrome	76	4681	32	8770	7.189977640118754e-14	7.99022215146397e-10
MONDO:0020218	goniodysgenesis	76	4681	32	8770	7.189977640118754e-14	7.99022215146397e-10
MONDO:0014671	neuropathy, hereditary motor and sensory, type 6B	76	4681	32	8770	7.189977640118754e-14	7.99022215146397e-10
MONDO:0007779	autosomal dominant Opitz G/BBB syndrome	132	4625	90	8712	7.595441421198768e-14	8.440814051378191e-10
MONDO:0007724	hirsutism-skeletal dysplasia-intellectual disability syndrome	54	4703	14	8788	7.934283820494319e-14	8.817369609715337e-10
MONDO:0060707	Ververi-Brady syndrome	54	4703	14	8788	7.934283820494319e-14	8.817369609715337e-10
MONDO:0008509	distal symphalangism (disease)	58	4699	17	8785	7.960766541545021e-14	8.846799857618982e-10
MONDO:0008619	ulna metaphyseal dysplasia syndrome	58	4699	17	8785	7.960766541545021e-14	8.846799857618982e-10
MONDO:0007764	autosomal dominant osteosclerosis, Worth type	69	4688	26	8776	8.230501548044551e-14	9.14655637034191e-10
MONDO:0011324	hypospadias, hypertelorism, upper 51D coloboma, and mixed-type hearing loss	63	4694	21	8781	8.334342599544205e-14	9.261954930873476e-10
MONDO:0007993	microgastria-limb reduction defect syndrome	137	4620	96	8706	8.685896952073736e-14	9.652637282839542e-10
MONDO:0017720	GM2 gangliosidosis	137	4620	96	8706	8.685896952073736e-14	9.652637282839542e-10
MONDO:0008879	Bowen-Conradi syndrome	79	4678	35	8767	8.785969101976342e-14	9.763847463026308e-10
MONDO:0018402	female infertility due to gonadal dysgenesis	164	4593	128	8674	8.817237956776884e-14	9.798596541366151e-10
MONDO:0008991	Verloove Vanhorick-Brubakk syndrome	70	4687	27	8775	9.257566562274518e-14	1.0287933720655672e-09
MONDO:0021148	female reproductive system neoplasm	168	4589	133	8669	9.269290530247503e-14	1.030096256626405e-09
MONDO:0013226	combined immunodeficiency with faciooculoskeletal anomalies	80	4677	36	8766	9.277634601301346e-14	1.0310235332426186e-09
MONDO:0014958	Harel-Yoon syndrome; HAYOS	81	4676	37	8765	9.742003385160689e-14	1.0826288361929075e-09
MONDO:0009313	Grubben-de Cock-Borghgraef syndrome	64	4693	22	8780	9.888121686773508e-14	1.09886696305114e-09
MONDO:0012590	XFE progeroid syndrome	64	4693	22	8780	9.888121686773508e-14	1.09886696305114e-09
MONDO:0012930	autosomal recessive severe congenital neutropenia due to G6PC3 deficiency	106	4651	62	8740	9.911589345921876e-14	1.1014749240122982e-09
MONDO:0009624	microcephaly and chorioretinopathy 1	82	4675	38	8764	1.0175500495535405e-13	1.1308033700688495e-09
MONDO:0011082	oculoauriculofrontonasal syndrome	82	4675	38	8764	1.0175500495535405e-13	1.1308033700688495e-09
MONDO:0010989	Mayer-Rokitansky-Küster-Hauser syndrome type 2	71	4686	28	8774	1.031244569746101e-13	1.146022090358842e-09
MONDO:0017226	Pelizaeus-Merzbacher-like disease	171	4586	137	8665	1.0507466084713972e-13	1.1676947059942638e-09
MONDO:0002635	periodontal disease	83	4674	39	8763	1.0575065336264477e-13	1.1752070108190714e-09
MONDO:0013624	intellectual disability, autosomal recessive 15	55	4702	15	8787	1.0635114694314433e-13	1.1818802959791629e-09
MONDO:0011057	cerebrovascular disorder	134	4623	93	8709	1.0686495379745473e-13	1.1875902315511144e-09
MONDO:0019073	hypotrichosis-lymphedema-telangiectasia-renal defect syndrome	84	4673	40	8762	1.0938166140370749e-13	1.2155584031794012e-09
MONDO:0000902	agenesis of the corpus callosum with peripheral neuropathy	117	4640	74	8728	1.0953048173706048e-13	1.2172122435439532e-09
MONDO:0008748	Hermansky-Pudlak syndrome 1	72	4685	29	8773	1.1384263659884514e-13	1.2651332205229662e-09
MONDO:0014336	intellectual disability-facial dysmorphism syndrome due to SETD5 haploinsufficiency	72	4685	29	8773	1.1384263659884514e-13	1.2651332205229662e-09
MONDO:0010195	Weissenbacher-Zweymuller syndrome	72	4685	29	8773	1.1384263659884514e-13	1.2651332205229662e-09
MONDO:0014236	Ehlers-Danlos syndrome, musculocontractural type 2	86	4671	42	8760	1.154749750018253e-13	1.2832733971952844e-09
MONDO:0016334	neuromuscular disease with dilated cardiomyopathy	201	4556	175	8627	1.1580986867589722e-13	1.2869950705952457e-09
MONDO:0013428	Meier-Gorlin syndrome 2	87	4670	43	8759	1.1791280448522064e-13	1.3103649962442571e-09
MONDO:0018948	multiminicore myopathy	115	4642	72	8730	1.2063168765588205e-13	1.3405799449198172e-09
MONDO:0000416	variable age at onset electroclinical syndrome	197	4560	170	8632	1.2077954229184522e-13	1.342223053489276e-09
MONDO:0020072	childhood-onset epilepsy syndrome	248	4509	237	8565	1.2112015108012767e-13	1.3460082389534587e-09
MONDO:0015010	atypical glycine encephalopathy	96	4661	52	8750	1.2194985246030143e-13	1.3552287103913298e-09
MONDO:0000603	autoimmune disease of cardiovascular system	132	4625	91	8711	1.223344209677755e-13	1.359502420214889e-09
MONDO:0027462	autosomal recessive cutis laxa type 2c	95	4662	51	8751	1.229530726201972e-13	1.3663774960282514e-09
MONDO:0007334	autosomal dominant popliteal pterygium syndrome	94	4663	50	8752	1.236330634179069e-13	1.3739342337631995e-09
MONDO:0009681	Ullrich congenital muscular dystrophy 1	94	4663	50	8752	1.236330634179069e-13	1.3739342337631995e-09
MONDO:0012071	congenital generalized lipodystrophy type 1	92	4665	48	8754	1.2394428909310884e-13	1.3773928846917185e-09
MONDO:0009618	microcephaly-cardiomyopathy syndrome	60	4697	19	8783	1.2404002617307293e-13	1.3784568108613594e-09
MONDO:0060642	neurodevelopmental disorder with movement abnormalities, abnormal gait, and autistic features	73	4684	30	8772	1.2461917463923518e-13	1.3848928877658205e-09
MONDO:0017127	inherited soft tissue tumor	189	4568	160	8642	1.2827197598969903e-13	1.4254864691735254e-09
MONDO:0045020	glycine metabolism disease	123	4634	81	8721	1.3227909102491986e-13	1.4700175385599344e-09
MONDO:0008358	radial ray hypoplasia-choanal atresia syndrome	52	4705	13	8789	1.327670479700014e-13	1.4754402040906256e-09
MONDO:0012006	craniosynostosis with ocular abnormalities and hallucal defects	52	4705	13	8789	1.327670479700014e-13	1.4754402040906256e-09
MONDO:0006552	folliculitis	66	4691	24	8778	1.3364824254400244e-13	1.485232919391499e-09
MONDO:0000136	keratosis follicularis spinulosa decalvans	66	4691	24	8778	1.3364824254400244e-13	1.485232919391499e-09
MONDO:0017955	granulomatous autoinflammatory syndrome	149	4608	111	8691	1.3407591619264617e-13	1.489985656648877e-09
MONDO:0015111	rare gastroesophageal disease	159	4598	123	8679	1.353848193805589e-13	1.504531497776151e-09
MONDO:0011612	glycine encephalopathy	122	4635	80	8722	1.4012277158306037e-13	1.55718436060255e-09
MONDO:0008478	spondylometaphyseal dysplasia, Schmidt type	75	4682	32	8770	1.459067371693056e-13	1.6214615701624933e-09
