id	label	gc annotated to disease	gc not annotated to disease	non-gc annotated to disease	non-gc not annotated to disease	p-value	p-value-correct
MONDO:0019700	primary bone dysplasia with multiple joint dislocations	71	144	725	12619	6.757274449565647e-35	7.509359095802304e-31
MONDO:0018053	trichothiodystrophy	49	166	267	13077	7.040917946478272e-35	7.824572113921303e-31
MONDO:0015136	immunodeficiency due to a genetic complement cascade protein anomaly	44	171	192	13152	7.327069857424018e-35	8.14257273255531e-31
MONDO:0017023	secondary interstitial lung disease specific to childhood associated with a granulomatous disease	47	168	236	13108	7.615593719464956e-35	8.463209300441404e-31
MONDO:0020037	rare gynecological tumor	47	168	236	13108	7.615593719464956e-35	8.463209300441404e-31
MONDO:0000603	autoimmune disease of cardiovascular system	43	172	180	13164	1.0227789205823077e-34	1.1366142144431185e-30
MONDO:0017716	disorder of carnitine cycle and carnitine transport	50	165	286	13058	1.0362927451194258e-34	1.151632127651218e-30
MONDO:0018132	congenital muscular alpha-dystroglycanopathy with brain and eye anomalies	53	162	339	13005	1.1537937836992096e-34	1.2822110318249316e-30
MONDO:0008872	microcephalic osteodysplastic primordial dwarfism type II	50	165	287	13057	1.2019737045876864e-34	1.335753377908296e-30
MONDO:0002562	demyelinating disease	52	163	322	13022	1.2996628840166894e-34	1.444315363007747e-30
MONDO:0002242	coagulation protein disease	47	168	240	13104	1.4878426001600512e-34	1.6534394815578648e-30
MONDO:0015486	keratoconus (disease)	52	163	323	13021	1.4906313896783635e-34	1.6565386633495654e-30
MONDO:0020211	syndromic keratoconus	52	163	323	13021	1.4906313896783635e-34	1.6565386633495654e-30
MONDO:0008876	Bloom syndrome	41	174	156	13188	1.6031443977806535e-34	1.7815743692536404e-30
MONDO:0020629	microcephaly, growth restriction and increased sister chromatid exchange	41	174	156	13188	1.6031443977806535e-34	1.7815743692536404e-30
MONDO:0016679	rare tumor of neuroepithelial tissue	45	170	211	13133	1.7831028458643033e-34	1.9815621926090003e-30
MONDO:0021193	neuroepithelial neoplasm	45	170	211	13133	1.7831028458643033e-34	1.9815621926090003e-30
MONDO:0010261	microphthalmia, syndromic 2	45	170	211	13133	1.7831028458643033e-34	1.9815621926090003e-30
MONDO:0000844	spondyloepimetaphyseal dysplasia	71	144	739	12605	2.1105928057482848e-34	2.3455017850280688e-30
MONDO:0019609	Zellweger syndrome	55	160	381	12963	2.1306030564304444e-34	2.3677391766111527e-30
MONDO:0020106	hemolytic anemia due to a disorder of glycolytic enzymes	43	172	184	13160	2.2663407006168123e-34	2.5185844205954634e-30
MONDO:0016185	qualitative or quantitative defects of protein O-mannosyltransferase 2	53	162	345	12999	2.5436268589391466e-34	2.8267325283390735e-30
MONDO:0019142	inherited porphyria	46	169	228	13116	2.5954734713195682e-34	2.884349668677436e-30
MONDO:0016325	glycogen storage disease with hypertrophic cardiomyopathy	43	172	185	13159	2.7579524585667518e-34	3.0649125672052312e-30
MONDO:0020071	infantile epilepsy syndrome	47	168	244	13100	2.875282217718862e-34	3.195301128550971e-30
MONDO:0018869	cobblestone lissencephaly	53	162	346	12998	2.897894160407141e-34	3.2204297804604555e-30
MONDO:0016182	qualitative or quantitative defects of protein O-mannose beta1,2N-acetylglucosaminyltransferase	53	162	346	12998	2.897894160407141e-34	3.2204297804604555e-30
MONDO:0020046	autosomal recessive degenerative and progressive cerebellar ataxia	58	157	443	12901	2.9006093657977955e-34	3.22344718821109e-30
MONDO:0009926	autosomal recessive multiple pterygium syndrome	48	167	260	13084	2.9383130244961187e-34	3.2653472641225366e-30
MONDO:0016166	genetic hyperparathyroidism	47	168	245	13099	3.3844569951514145e-34	3.761147058711767e-30
MONDO:0015897	rare hyperparathyroidism	47	168	245	13099	3.3844569951514145e-34	3.761147058711767e-30
MONDO:0010837	primary hyperparathyroidism (disease)	47	168	245	13099	3.3844569951514145e-34	3.761147058711767e-30
MONDO:0001741	hyperparathyroidism	47	168	245	13099	3.3844569951514145e-34	3.761147058711767e-30
MONDO:0015465	craniometaphyseal dysplasia	48	167	261	13083	3.4358259205709e-34	3.818233345530441e-30
MONDO:0014379	ADNP-related multiple congenital anomalies-intellectual disability-autism spectrum disorder	33	182	73	13271	3.5623037647298985e-34	3.958788173744336e-30
MONDO:0009584	intellectual disability, Buenos-Aires type	42	173	173	13171	3.7496969439829577e-34	4.167038213848261e-30
MONDO:0000001	disease or disorder	212	3	8775	4569	3.923227707357715e-34	4.359882951186629e-30
MONDO:0020189	eyebrow/eyelashes structural anomaly	47	168	246	13098	3.981189973365106e-34	4.424296417400642e-30
MONDO:0010624	ichthyosis follicularis-alopecia-photophobia syndrome	48	167	262	13082	4.015191905524816e-34	4.462082764609728e-30
MONDO:0018406	rare male infertility due to adrenal disorder of genetic origin	49	166	279	13065	4.3882724404584504e-34	4.876687163081476e-30
MONDO:0021005	faciodigitogenital syndrome	50	165	296	13048	4.463645625167996e-34	4.9604493832491934e-30
MONDO:0020034	rare respiratory tract neoplasm	42	173	174	13170	4.595944661385361e-34	5.107473302197552e-30
MONDO:0020023	respiratory or mediastinal malformation	65	150	603	12741	5.392202630636121e-34	5.992354783425921e-30
MONDO:0020641	respiratory tract neoplasm	42	173	175	13169	5.626913411948152e-34	6.253188874697981e-30
MONDO:0009671	intellectual disability-myopathy-short stature-endocrine defect syndrome	37	178	114	13230	5.639411555953651e-34	6.267078062131293e-30
MONDO:0016826	methylmalonic acidemia with homocystinuria	46	169	233	13111	6.04514899268807e-34	6.717974075574251e-30
MONDO:0009324	Hartnup disease	32	183	66	13278	6.411361242844918e-34	7.124945749173557e-30
MONDO:0015503	nose and cavum anomaly	56	159	410	12934	6.634219323200677e-34	7.372607933872912e-30
MONDO:0019600	xeroderma pigmentosum	40	175	150	13194	6.867247985520268e-34	7.631572686308673e-30
MONDO:0013312	retinitis pigmentosa 55	40	175	150	13194	6.867247985520268e-34	7.631572686308673e-30
MONDO:0007542	Camurati-Engelmann disease	42	173	176	13168	6.88156872237608e-34	7.647487321176537e-30
MONDO:0005557	calcium metabolic disease	44	171	204	13140	6.9641827255929515e-34	7.739296262951447e-30
MONDO:0009623	Nijmegen breakage syndrome	44	171	204	13140	6.9641827255929515e-34	7.739296262951447e-30
MONDO:0020135	non-syndromic pontocerebellar hypoplasia	53	162	353	12991	7.142819712380774e-34	7.937815546368754e-30
MONDO:0008097	linear nevus sebaceus syndrome	41	174	163	13181	7.240184287440262e-34	8.046016798632363e-30
MONDO:0020179	palpebral nevus	41	174	163	13181	7.240184287440262e-34	8.046016798632363e-30
MONDO:0000621	immune system cancer	43	172	190	13154	7.250450820572736e-34	8.057425996902482e-30
MONDO:0000406	Brown-Vialetto-van Laere syndrome	38	177	127	13217	8.827567581679289e-34	9.810075853520193e-30
MONDO:0016404	metabolic neurotransmission anomaly with epilepsy	46	169	236	13108	9.954599702760697e-34	1.1062546649677962e-29
MONDO:0000090	progressive external ophthalmoplegia with mitochondrial DNA deletions	46	169	236	13108	9.954599702760697e-34	1.1062546649677962e-29
MONDO:0017674	disease with focal palmoplantar keratoderma as a major feature	45	170	221	13123	1.0396251878539967e-33	1.1553354712621466e-29
MONDO:0016997	hereditary epidermolysis bullosa associated with ocular features	45	170	221	13123	1.0396251878539967e-33	1.1553354712621466e-29
MONDO:0009479	Johanson-Blizzard syndrome	45	170	221	13123	1.0396251878539967e-33	1.1553354712621466e-29
MONDO:0016157	qualitative or quantitative defects of fukutin	56	159	414	12930	1.0522725490780594e-33	1.1693904837904474e-29
MONDO:0010666	Miles-Carpenter syndrome	43	172	192	13152	1.060001115831978e-33	1.1779792400240773e-29
MONDO:0019694	spondylodysplastic dysplasia	68	147	684	12660	1.134622371357363e-33	1.2609058412894374e-29
MONDO:0009101	Wolfram syndrome 1	34	181	86	13258	1.2851168425562566e-33	1.428150347132768e-29
MONDO:0017703	disorder of glyoxylate metabolism	40	175	153	13191	1.331805425689271e-33	1.480035369568487e-29
MONDO:0016328	fatty acid oxidation and ketogenesis disorder with hypertrophic cardiomyopathy	48	167	270	13074	1.3678385222435801e-33	1.5200789497692907e-29
MONDO:0001586	mucopolysaccharidosis type 1	49	166	287	13057	1.4233879052677538e-33	1.5818109791240547e-29
MONDO:0004867	upper respiratory tract disease	47	168	254	13090	1.4262873800077913e-33	1.5850331654026585e-29
MONDO:0021148	female reproductive system neoplasm	47	168	254	13090	1.4262873800077913e-33	1.5850331654026585e-29
MONDO:0005206	renal carcinoma	39	176	141	13203	1.4661666859819906e-33	1.629351038131786e-29
MONDO:0016817	Meier-Gorlin syndrome	56	159	417	12927	1.4827459851719783e-33	1.6477756133216194e-29
MONDO:0009254	fucosidosis	42	173	180	13164	1.5228973604780167e-33	1.69239583669922e-29
MONDO:0008926	COFS syndrome	48	167	271	13073	1.590258314285092e-33	1.7672540646650227e-29
MONDO:0009583	blepharophimosis-intellectual disability syndrome, Ohdo type	40	175	154	13190	1.656330901622612e-33	1.8406805309732087e-29
MONDO:0019737	thrombotic microangiopathy	41	174	167	13177	1.6674326973840435e-33	1.8530179566028874e-29
MONDO:0017688	disorder of glycolysis	44	171	209	13135	1.7139498980922294e-33	1.9047125217498947e-29
MONDO:0019702	neonatal osteosclerotic dysplasia	55	160	399	12945	1.8395693211607013e-33	2.0443133866058873e-29
MONDO:0015222	syndromic respiratory or mediastinal malformation	62	153	548	12796	2.007148235191453e-33	2.230543833768262e-29
MONDO:0000456	cerebral creatine deficiency syndrome	39	176	143	13201	2.3179949118521386e-33	2.5759877455412817e-29
MONDO:0016114	bulbospinal muscular atrophy of childhood	38	177	131	13213	2.3461904083879273e-33	2.6073214008415036e-29
MONDO:0008891	riboflavin transporter deficiency	38	177	131	13213	2.3461904083879273e-33	2.6073214008415036e-29
MONDO:0014353	PGM3-CDG	34	181	88	13256	2.413568246881684e-33	2.6821983927596155e-29
MONDO:0017672	focal palmoplantar keratoderma	45	170	226	13118	2.438477649441302e-33	2.709880211824119e-29
MONDO:0015321	Pierre Robin syndrome associated with branchial archs anomalies	53	162	363	12981	2.5118132835167482e-33	2.7913781019721624e-29
MONDO:0008021	Cowden syndrome 1	40	175	156	13188	2.5517083783891863e-33	2.8357135209039027e-29
MONDO:0021117	lung neoplasm	40	175	156	13188	2.5517083783891863e-33	2.8357135209039027e-29
MONDO:0015959	inherited syndrome with bone tumors as a major feature	47	168	258	13086	2.6597892307688985e-33	2.955823772153477e-29
MONDO:0008830	aspartylglucosaminuria	43	172	197	13147	2.694703110249895e-33	2.9946235664207084e-29
MONDO:0017090	midline cerebral malformation	50	165	309	13035	2.7712917357852364e-33	3.0797365059781335e-29
MONDO:0006607	sebaceous gland disease	51	164	327	13017	2.838355894767344e-33	3.1542649058549495e-29
MONDO:0017260	systemic diseases with posterior uveitis	48	167	275	13069	2.889404941368251e-33	3.2109957113425373e-29
MONDO:0020109	constitutional megaloblastic anemia due to vitamin B12 metabolism disorder	48	167	275	13069	2.889404941368251e-33	3.2109957113425373e-29
MONDO:0000424	inborn vitamin B12 deficiency (disease)	48	167	275	13069	2.889404941368251e-33	3.2109957113425373e-29
MONDO:0042976	vitamin B deficiency	48	167	275	13069	2.889404941368251e-33	3.2109957113425373e-29
MONDO:0008854	Bardet-Biedl syndrome 1	39	176	144	13200	2.9080529648743625e-33	3.231719259864879e-29
MONDO:0044983	benign lipomatous neoplasm	50	165	310	13034	3.178916442342567e-33	3.5327298423752953e-29
MONDO:0016184	qualitative or quantitative defects of protein O-mannosyltransferase 1	53	162	365	12979	3.216299496573134e-33	3.5742736305417237e-29
MONDO:0006536	congenital generalized lipodystrophy (disease)	43	172	198	13146	3.238593978610268e-33	3.599049488429591e-29
MONDO:0027766	generalized lipodystrophy	43	172	198	13146	3.238593978610268e-33	3.599049488429591e-29
MONDO:0002185	hyperostosis	51	164	328	13016	3.239748882671472e-33	3.6003329333128073e-29
MONDO:0012914	chromosome 1q21.1 deletion syndrome	42	173	184	13160	3.314207781042121e-33	3.683079107072109e-29
MONDO:0010683	X-linked centronuclear myopathy	36	179	110	13234	3.597018043644592e-33	3.997366151902235e-29
MONDO:0016154	qualitative or quantitative defects of myotubularin	36	179	110	13234	3.597018043644592e-33	3.997366151902235e-29
MONDO:0014686	short stature, microcephaly, and endocrine dysfunction	39	176	145	13199	3.642948316675806e-33	4.048408464321823e-29
MONDO:0010568	Aicardi syndrome	46	169	244	13100	3.653099059333327e-33	4.0596889846371266e-29
MONDO:0013546	mitochondrial complex V (ATP synthase) deficiency nuclear type 2	41	174	171	13173	3.768614235790531e-33	4.188061000234017e-29
MONDO:0016643	frontonasal dysplasia	60	155	510	12834	3.818172207377997e-33	4.2431347740591675e-29
MONDO:0000510	synucleinopathy	49	166	294	13050	3.8804175421604044e-33	4.3123080146028576e-29
MONDO:0018939	muscle-eye-brain disease	48	167	277	13067	3.882100721415258e-33	4.3141785317087763e-29
MONDO:0016904	partial deletion of the long arm of chromosome 5	43	172	199	13145	3.888769105184562e-33	4.321589106591604e-29
MONDO:0021354	tumor of adipose tissue	50	165	312	13032	4.177254325327146e-33	4.642182731736057e-29
MONDO:0019502	autosomal recessive non-syndromic intellectual disability	50	165	312	13032	4.177254325327146e-33	4.642182731736057e-29
MONDO:0019220	inborn disorder of cobalamin metabolism and transport	49	166	295	13049	4.469376226609889e-33	4.9668178006315693e-29
MONDO:0017010	partial duplication of the long arm of chromosome X	43	172	200	13144	4.665319977568317e-33	5.184570091071671e-29
MONDO:0017855	T-B- severe combined immunodeficiency	51	164	331	13013	4.805965447578518e-33	5.340869401894007e-29
MONDO:0017955	granulomatous autoinflammatory syndrome	44	171	216	13128	5.841605573721881e-33	6.491776274077127e-29
MONDO:0011142	Ehlers-Danlos syndrome, musculocontractural type	44	171	216	13128	5.841605573721881e-33	6.491776274077127e-29
MONDO:0005170	myeloid neoplasm	46	169	247	13097	5.8842855516614784e-33	6.539206533561401e-29
MONDO:0008310	progeria	50	165	316	13028	7.174949896714069e-33	7.973521820218344e-29
MONDO:0008428	septooptic dysplasia	37	178	124	13220	7.358265876609098e-33	8.17724086867569e-29
MONDO:0014243	Prader-Willi syndrome due to point mutation	38	177	136	13208	7.663302603526265e-33	8.516228183298739e-29
MONDO:0017687	disorder of neutral amino acid transport	32	183	73	13271	8.162283583260466e-33	9.070745746077356e-29
MONDO:0015145	neurovascular malformation	50	165	317	13027	8.205010858138153e-33	9.11822856664893e-29
MONDO:0015846	syndromic uterovaginal malformation	58	157	475	12869	8.913268733300503e-33	9.905315543316849e-29
MONDO:0019523	Walker-Warburg syndrome	51	164	336	13008	9.199016590507973e-33	1.022286713703151e-28
MONDO:0009022	corpus callosum, agenesis of	48	167	283	13061	9.296997751963607e-33	1.0331753601757157e-28
MONDO:0010663	X-linked intellectual disability-hypotonic face syndrome	44	171	219	13125	9.763697596919483e-33	1.085039713945662e-28
MONDO:0011939	Spondyloenchondrodysplasia with immune dysregulation	35	180	103	13241	1.000183861977708e-32	1.111504325815827e-28
MONDO:0042489	disease susceptibility	36	179	114	13230	1.0365703010489757e-32	1.1519405755557267e-28
MONDO:0020573	hereditary predisposition to disease	36	179	114	13230	1.0365703010489757e-32	1.1519405755557267e-28
MONDO:0017269	X-linked ichthyosis syndrome	50	165	319	13025	1.071621477768293e-32	1.190892948243904e-28
MONDO:0018542	severe congenital neutropenia	40	175	163	13181	1.1123685749658744e-32	1.2361751973595762e-28
MONDO:0016296	holoprosencephaly	49	166	302	13042	1.1858643718171055e-32	1.3178510764003494e-28
MONDO:0010519	alpha thalassemia-X-linked intellectual disability syndrome	46	169	252	13092	1.2860756400402955e-32	1.4292158587767803e-28
MONDO:0008752	Alexander disease	39	176	151	13193	1.366356037570647e-32	1.51843146455226e-28
MONDO:0018947	centronuclear myopathy	44	171	221	13123	1.3698634077220678e-32	1.522329205001534e-28
MONDO:0015974	severe combined immunodeficiency (disease)	53	162	377	12967	1.3775615612698304e-32	1.5308841630391625e-28
MONDO:0019248	mucolipidosis	54	161	398	12946	1.6211482492456775e-32	1.8015820493867215e-28
MONDO:0007235	branchiooculofacial syndrome	48	167	287	13057	1.6471369328990043e-32	1.8304632735306635e-28
MONDO:0015892	growth hormone insensitivity syndrome	48	167	287	13057	1.6471369328990043e-32	1.8304632735306635e-28
MONDO:0019512	congenital heart malformation	57	158	460	12884	1.710610803893912e-32	1.9010017863673044e-28
MONDO:0018491	3-phosphoglycerate dehydrogenase deficiency	45	170	238	13106	1.7531977061907005e-32	1.9483286108897255e-28
MONDO:0018075	neural tube defect	52	163	360	12984	1.7936570655251494e-32	1.9932910969180985e-28
MONDO:0015075	thyroid gland carcinoma	38	177	140	13204	1.919201542577928e-32	2.1328086742668514e-28
MONDO:0002108	thyroid cancer	38	177	140	13204	1.919201542577928e-32	2.1328086742668514e-28
MONDO:0016148	qualitative or quantitative defects of collagen 6	39	176	153	13191	2.09971244547791e-32	2.3334104406596013e-28
MONDO:0015495	otomandibular dysplasia associated with monogenic syndromes	51	164	343	13001	2.2457537547452375e-32	2.4957061476483823e-28
MONDO:0013115	RIN2 syndrome	38	177	141	13203	2.4050792239177223e-32	2.6727645415397647e-28
MONDO:0010305	creatine transporter deficiency	37	178	129	13215	2.4762448970546444e-32	2.751850954096826e-28
MONDO:0017913	pure or complex hereditary spastic paraplegia	59	156	507	12837	2.501989472329408e-32	2.780460900599671e-28
MONDO:0016967	partial duplication of the long arm of chromosome 17	44	171	225	13119	2.6725182520120083e-32	2.969969533460945e-28
MONDO:0016799	mitochondrial oxidative phosphorylation disorder with no known mechanism	43	172	210	13134	2.748344864134106e-32	3.0542356475122317e-28
MONDO:0008111	oculodentodigital dysplasia	51	164	345	12999	2.888171645666758e-32	3.209625149829468e-28
MONDO:0013308	Noonan syndrome-like disorder with juvenile myelomonocytic leukemia	35	180	107	13237	2.985693340294741e-32	3.318001009069546e-28
MONDO:0015828	uterovaginal malformation	59	156	509	12835	3.0433073347375875e-32	3.382027441093881e-28
MONDO:0017042	thanatophoric dysplasia	40	175	168	13176	3.070272638688512e-32	3.4119939833745432e-28
MONDO:0019625	familial thoracic aortic aneurysm and aortic dissection	42	173	196	13148	3.10895449011583e-32	3.454981124865722e-28
MONDO:0017436	lethal congenital contracture syndrome	44	171	226	13118	3.152739199151087e-32	3.503639072016603e-28
MONDO:0010726	Rett syndrome	44	171	226	13118	3.152739199151087e-32	3.503639072016603e-28
MONDO:0018701	congenital nemaline myopathy	41	174	182	13162	3.240791658373884e-32	3.6014917699508974e-28
MONDO:0010879	CODAS syndrome	43	172	211	13133	3.2667167795078723e-32	3.6303023570670985e-28
MONDO:0018387	rare male infertility due to adrenal disorder	47	168	275	13069	3.3902124643437777e-32	3.7675431116252402e-28
MONDO:0019005	nephronophthisis (disease)	40	175	169	13175	3.748490620608772e-32	4.165697626682528e-28
MONDO:0010500	intellectual disability, X-linked, syndromic 33	43	172	212	13132	3.879756176190795e-32	4.3115730386008305e-28
MONDO:0002406	dermatitis	49	166	311	13033	4.0227553812348383e-32	4.470488055166275e-28
MONDO:0009341	Mowat-Wilson syndrome	46	169	260	13084	4.3538892390697816e-32	4.838477111378248e-28
MONDO:0008003	autosomal dominant progressive external ophthalmoplegia	40	175	170	13174	4.5713697038362417e-32	5.080163151873215e-28
MONDO:0008104	Noonan syndrome 1	38	177	144	13200	4.6912382339596197e-32	5.213373049399325e-28
MONDO:0016462	isolated agammaglobulinemia	41	174	184	13160	4.728221846477659e-32	5.254472937990623e-28
MONDO:0004949	neoplasm of mature B-cells	39	176	157	13187	4.8811403227629696e-32	5.424411240686488e-28
MONDO:0017845	spastic ataxia	49	166	313	13031	5.251600190992055e-32	5.836103292249471e-28
MONDO:0016194	qualitative or quantitative defects of nebulin	40	175	171	13173	5.568675018831264e-32	6.188468548427183e-28
MONDO:0011428	ectrodactyly, ectodermal dysplasia, and cleft lip-palate syndrome 3	40	175	171	13173	5.568675018831264e-32	6.188468548427183e-28
MONDO:0017226	Pelizaeus-Merzbacher-like disease	46	169	262	13082	5.871349898537325e-32	6.524831142244529e-28
MONDO:0008394	Silver-Russell syndrome	44	171	230	13114	6.062614361973206e-32	6.7373833404608235e-28
MONDO:0004860	vitreous disease	51	164	351	12993	6.088972480995573e-32	6.7666751181303805e-28
MONDO:0020141	infectious disease with dementia	42	173	200	13144	6.366523134218068e-32	7.075117159056538e-28
MONDO:0014609	cognitive impairment-coarse facies-heart defects-obesity-pulmonary involvement-short stature-skeletal dysplasia syndrome	33	182	89	13255	6.726855825807738e-32	7.47555487922014e-28
MONDO:0016792	mitochondrial oxidative phosphorylation disorder due to a large-scale single deletion of mitochondrial DNA	40	175	172	13172	6.776073529298839e-32	7.530250513109799e-28
MONDO:0009672	juvenile spinal muscular atrophy	38	177	146	13198	7.270798236189961e-32	8.080038079877904e-28
MONDO:0016354	xeroderma pigmentosum-Cockayne syndrome complex	38	177	146	13198	7.270798236189961e-32	8.080038079877904e-28
MONDO:0011945	Gaucher disease perinatal lethal	39	176	159	13185	7.385681097871445e-32	8.207707404064538e-28
MONDO:0015397	oculo-auriculo-vertebral spectrum	45	170	248	13096	8.428103305312366e-32	9.366151203193632e-28
MONDO:0008953	peroxisome biogenesis disorder 1A (Zellweger)	45	170	248	13096	8.428103305312366e-32	9.366151203193632e-28
MONDO:0011758	Hurler syndrome	45	170	248	13096	8.428103305312366e-32	9.366151203193632e-28
MONDO:0001377	vitreous syneresis	50	165	335	13009	8.548621846544919e-32	9.50008345806537e-28
MONDO:0020248	vitreoretinal degeneration	50	165	335	13009	8.548621846544919e-32	9.50008345806537e-28
MONDO:0000941	eyelid degenerative disease	52	163	373	12971	8.569613152614645e-32	9.523411096500655e-28
MONDO:0008112	Goldenhar syndrome	42	173	202	13142	9.063151962684333e-32	1.00718807761311e-27
MONDO:0021238	cornea neoplasm	42	173	202	13142	9.063151962684333e-32	1.00718807761311e-27
MONDO:0009480	Joubert syndrome with oculorenal defect	46	169	265	13079	9.15545990935313e-32	1.0174462597264134e-27
MONDO:0000358	orofacial cleft	44	171	233	13111	9.827773874351127e-32	1.0921605106566408e-27
MONDO:0008280	Peutz-Jeghers syndrome	36	179	123	13221	9.953994650732218e-32	1.1061874255358714e-27
MONDO:0009499	Krabbe disease	36	179	123	13221	9.953994650732218e-32	1.1061874255358714e-27
MONDO:0009054	autosomal recessive cutis laxa type 2, classic type	48	167	300	13044	1.0011801764739654e-31	1.1126115301155176e-27
MONDO:0007926	Waldenstrom macroglobulinemia	37	178	135	13209	1.003934312684912e-31	1.1156722016867427e-27
MONDO:0016138	malignant lymphoma with peripheral neuropathy	37	178	135	13209	1.003934312684912e-31	1.1156722016867427e-27
MONDO:0000432	lymphoplasmacytic lymphoma	37	178	135	13209	1.003934312684912e-31	1.1156722016867427e-27
MONDO:0012308	Joubert syndrome with renal defect	37	178	135	13209	1.003934312684912e-31	1.1156722016867427e-27
MONDO:0000637	musculoskeletal system cancer	43	172	218	13126	1.0711077558471174e-31	1.1903220490729015e-27
MONDO:0003780	T-cell immunodeficiency	42	173	203	13141	1.0799729976576445e-31	1.2001739922969405e-27
MONDO:0001222	congenital T-cell immunodeficiency	42	173	203	13141	1.0799729976576445e-31	1.2001739922969405e-27
MONDO:0043424	digestive system infectious disease	38	177	148	13196	1.1205541169057107e-31	1.2452717901173163e-27
MONDO:0013599	autoimmune enteropathy and endocrinopathy-susceptibility to chronic infections syndrome	38	177	148	13196	1.1205541169057107e-31	1.2452717901173163e-27
MONDO:0019349	Sotos syndrome	41	174	189	13155	1.1950630268335308e-31	1.3280735417201029e-27
MONDO:0000200	Zimmermann-Laband syndrome	41	174	189	13155	1.1950630268335308e-31	1.3280735417201029e-27
MONDO:0018958	nemaline myopathy	41	174	189	13155	1.1950630268335308e-31	1.3280735417201029e-27
MONDO:0016708	embryonal tumor of neuroepithelial tissue	40	175	175	13169	1.2129163447990947e-31	1.3479139339752339e-27
MONDO:0009109	lysinuric protein intolerance	34	181	102	13242	1.434970379895512e-31	1.5946825831778826e-27
MONDO:0009319	pantothenate kinase-associated neurodegeneration	36	179	125	13219	1.6116287690031992e-31	1.7910030509932553e-27
MONDO:0001902	congenital agammaglobulinemia	39	176	163	13181	1.666296829931946e-31	1.8517556671033715e-27
MONDO:0016463	syndromic agammaglobulinemia	39	176	163	13181	1.666296829931946e-31	1.8517556671033715e-27
MONDO:0015517	common variable immunodeficiency	39	176	163	13181	1.666296829931946e-31	1.8517556671033715e-27
MONDO:0006543	epidermolysis bullosa dystrophica	38	177	150	13194	1.7175067529261148e-31	1.9086652545267915e-27
MONDO:0010502	intellectual disability, X-linked 99, syndromic, female-restricted; MRXS99F	41	174	191	13153	1.7202194194500553e-31	1.9116798408348465e-27
MONDO:0015052	primary interstitial lung disease specific to childhood due to pulmonary surfactant protein anomalies	34	181	103	13241	1.8836826009758112e-31	2.093336474464419e-27
MONDO:0008523	Blau syndrome	39	176	164	13180	2.036097677056735e-31	2.2627153485131493e-27
MONDO:0011365	blepharophimosis-intellectual disability syndrome, SBBYS type	39	176	164	13180	2.036097677056735e-31	2.2627153485131493e-27
MONDO:0010466	multiple congenital anomalies-hypotonia-seizures syndrome 2	41	174	192	13152	2.0610001087883186e-31	2.2903894208964585e-27
MONDO:0011679	craniosynostosis syndrome, autosomal recessive	60	155	552	12792	2.082540220691417e-31	2.314326947254372e-27
MONDO:0015076	rare parathyroid tumor	45	170	254	13090	2.098241616227945e-31	2.3317759081141153e-27
MONDO:0021360	tumor of parathyroid gland	45	170	254	13090	2.098241616227945e-31	2.3317759081141153e-27
MONDO:0010421	Bruton-type agammaglobulinemia	38	177	151	13193	2.122045142604569e-31	2.3582287669764574e-27
MONDO:0018395	male infertility due to sperm motility disorder	42	173	207	13137	2.1593602982369353e-31	2.399697099430706e-27
MONDO:0020039	46,XX disorder of sex development induced by androgens excess	48	167	306	13038	2.2424337941093565e-31	2.492016675393728e-27
MONDO:0009767	oculocerebral hypopigmentation syndrome, cross type	37	178	139	13205	2.4722587750039576e-31	2.747421176661898e-27
MONDO:0017779	alpha-N-acetylgalactosaminidase deficiency	37	178	139	13205	2.4722587750039576e-31	2.747421176661898e-27
MONDO:0008823	neurogenic arthrogryposis multiplex congenita	39	176	165	13179	2.485069406204887e-31	2.761657631115491e-27
MONDO:0010655	X-linked intellectual disability with marfanoid habitus	39	176	165	13179	2.485069406204887e-31	2.761657631115491e-27
MONDO:0024619	central nervous system infectious disorder	42	173	208	13136	2.5624981337488553e-31	2.847704176035103e-27
MONDO:0012911	pseudohypoparathyroidism type 1C	42	173	208	13136	2.5624981337488553e-31	2.847704176035103e-27
MONDO:0003062	intestinal benign neoplasm	36	179	127	13217	2.5908686627839617e-31	2.879232344951817e-27
MONDO:0037938	inborn disorder of aspartate family metabolism	36	179	127	13217	2.5908686627839617e-31	2.879232344951817e-27
MONDO:0014606	intellectual disability-microcephaly-strabismus-behavioral abnormalities syndrome	36	179	127	13217	2.5908686627839617e-31	2.879232344951817e-27
MONDO:0015737	typical nemaline myopathy	38	177	152	13192	2.6183975272869115e-31	2.9098251720739448e-27
MONDO:0011518	Wiedemann-Steiner syndrome	41	174	194	13150	2.950397704159129e-31	3.27877696863204e-27
MONDO:0013267	distal 16p11.2 microdeletion syndrome	32	183	84	13260	2.98524561997427e-31	3.317503457477406e-27
MONDO:0018289	congenital disorder of glycosylation with dilated cardiomyopathy	42	173	209	13135	3.0384521512524144e-31	3.376631875686808e-27
MONDO:0019262	juvenile neuronal ceroid lipofuscinosis	37	178	140	13204	3.085227895301193e-31	3.428613760048216e-27
MONDO:0016820	Moyamoya disease	37	178	140	13204	3.085227895301193e-31	3.428613760048216e-27
MONDO:0019546	other acquired skin disease	34	181	105	13239	3.222855431368783e-31	3.5815592408801286e-27
MONDO:0009563	maple syrup urine disease	34	181	105	13239	3.222855431368783e-31	3.5815592408801286e-27
